id,class
2001,EI
2002,N
2003,N
2004,EI
2005,N
2006,N
2007,N
2008,N
2009,N
2010,N
2011,N
2012,N
2013,EI
2014,N
2015,N
2016,N
2017,IE
2018,N
2019,EI
2020,N
2021,EI
2022,N
2023,N
2024,N
2025,N
2026,N
2027,N
2028,N
2029,N
2030,N
2031,N
2032,N
2033,N
2034,N
2035,N
2036,N
2037,EI
2038,N
2039,N
2040,N
2041,N
2042,N
2043,N
2044,N
2045,N
2046,N
2047,EI
2048,EI
2049,N
2050,N
2051,EI
2052,EI
2053,IE
2054,N
2055,N
2056,N
2057,N
2058,N
2059,N
2060,N
2061,N
2062,N
2063,N
2064,N
2065,N
2066,N
2067,N
2068,N
2069,N
2070,N
2071,N
2072,EI
2073,N
2074,EI
2075,N
2076,N
2077,N
2078,N
2079,N
2080,N
2081,EI
2082,N
2083,EI
2084,N
2085,N
2086,IE
2087,EI
2088,N
2089,N
2090,EI
2091,N
2092,N
2093,N
2094,N
2095,N
2096,N
2097,N
2098,EI
2099,N
2100,N
2101,EI
2102,N
2103,N
2104,N
2105,N
2106,IE
2107,N
2108,N
2109,N
2110,EI
2111,IE
2112,N
2113,N
2114,N
2115,N
2116,N
2117,N
2118,N
2119,N
2120,N
2121,EI
2122,N
2123,N
2124,N
2125,EI
2126,N
2127,EI
2128,N
2129,N
2130,N
2131,IE
2132,N
2133,IE
2134,EI
2135,N
2136,N
2137,N
2138,N
2139,N
2140,EI
2141,EI
2142,N
2143,EI
2144,EI
2145,EI
2146,EI
2147,EI
2148,EI
2149,EI
2150,EI
2151,EI
2152,EI
2153,N
2154,N
2155,N
2156,EI
2157,N
2158,N
2159,EI
2160,EI
2161,EI
2162,EI
2163,EI
2164,EI
2165,EI
2166,EI
2167,N
2168,EI
2169,EI
2170,N
2171,N
2172,N
2173,N
2174,EI
2175,N
2176,EI
2177,N
2178,N
2179,N
2180,EI
2181,N
2182,N
2183,N
2184,N
2185,N
2186,N
2187,EI
2188,N
2189,EI
2190,N
2191,N
2192,EI
2193,N
2194,N
2195,N
2196,N
2197,EI
2198,N
2199,N
2200,EI
2201,EI
2202,EI
2203,N
2204,N
2205,N
2206,EI
2207,N
2208,N
2209,N
2210,N
2211,N
2212,EI
2213,N
2214,EI
